Time,Signal 1,Signal 2,Signal 3,Signal 4,Signal 5
5.866666667,-0.151594241,-0.001436629,-0.215458137,0.035565719,-0.233479948
5.9,-0.13420397,-0.003010363,-0.207077242,0.050139171,-0.236587688
5.933333333,-0.115062824,-0.004380344,-0.195232371,0.063462672,-0.235648896
5.966666667,-0.094555412,-0.005513296,-0.180196959,0.075303188,-0.230739328
6,-0.073075712,-0.006386224,-0.162297079,0.085461535,-0.222003584
6.033333333,-0.051019765,-0.006986512,-0.141904328,0.093775862,-0.209651374
6.066666667,-0.028778673,-0.007311657,-0.119428005,0.100124271,-0.193952646
6.1,-0.006732028,-0.007368676,-0.095306742,0.104426506,-0.175231696
6.133333333,0.014758146,-0.00717323,-0.069999779,0.106644721,-0.153860375
6.166666667,0.035352837,-0.006748504,-0.043978046,0.106783301,-0.130250561
6.2,0.054740824,-0.006123914,-0.017715237,0.104887792,-0.104846036
6.233333333,0.072642736,-0.005333684,0.008320956,0.101042971,-0.07811394
6.266666667,0.088814363,-0.004415365,0.033677276,0.095370124,-0.05053597
6.3,0.103049195,-0.003408329,0.057922859,0.08802363,-0.022599495
6.333333333,0.115180205,-0.002352314,0.080656574,0.079186928,0.00521124
6.366666667,0.125080872,-0.001286054,0.101513607,0.069068,0.032423674
6.4,0.132665484,-0.000246038,0.120171212,0.057894468,0.058585079
6.433333333,0.137888755,0.000734572,0.136353516,0.04590843,0.083270171
6.466666667,0.140744803,0.001626833,0.149835326,0.033361172,0.106088056
6.5,0.141265545,0.00240671,0.160444899,0.020507849,0.126688381
6.533333333,0.139518577,0.00305555,0.168065638,0.007602279,0.144766618
6.566666667,0.13560459,0.003560342,0.172636732,-0.005108063,0.160068391
6.6,0.129654413,0.00391377,0.174152744,-0.017386741,0.172392797
6.633333333,0.121825733,0.004114067,0.172662199,-0.02901266,0.181594684
6.666666667,0.112299576,0.004164699,0.168265219,-0.039783901,0.187585869
6.7,0.101276608,0.004073884,0.161110293,-0.049521034,0.190335311
6.733333333,0.088973334,0.003854,0.151390254,-0.058069843,0.189868256
6.766666667,0.075618239,0.00352088,0.139337573,-0.065303464,0.1862644
6.8,0.061447951,0.003093051,0.125219084,-0.071123888,0.179655139
6.833333333,0.04670346,0.00259093,0.109330244,-0.075462851,0.170219961
6.866666667,0.031626458,0.002036021,0.091989064,-0.078282105,0.158182102
6.9,0.016455832,0.001450121,0.073529816,-0.079573104,0.143803537
6.933333333,0.001424343,0.000854581,0.054296668,-0.07935613,0.127379432
6.966666667,-0.013244452,0.000269629,0.034637329,-0.077678911,0.109232165
7,-0.027339045,-0.000286219,0.014896857,-0.074614772,0.089705051
7.033333333,-0.040662532,-0.000796653,-0.004588291,-0.070260383,0.069155868
7.066666667,-0.053034888,-0.001247951,-0.023495848,-0.064733166,0.047950334
7.1,-0.064294929,-0.001629257,-0.041522893,-0.058168417,0.026455627
7.133333333,-0.074301968,-0.001932734,-0.058390483,-0.050716218,0.005034087
7.166666667,-0.082937148,-0.002153618,-0.073847702,-0.042538199,-0.015962819
7.2,-0.090104457,-0.002290155,-0.087675083,-0.033804226,-0.03620015
7.233333333,-0.095731425,-0.002343459,-0.099687351,-0.024689056,-0.055364688
7.266666667,-0.099769503,-0.002317272,-0.109735478,-0.015369045,-0.073169594
7.3,-0.102194134,-0.002217665,-0.11770803,-0.006018941,-0.089358467
7.333333333,-0.103004523,-0.002052678,-0.12353182,0.003191167,-0.103708752
7.366666667,-0.102223117,-0.001831927,-0.127171869,0.012098715,-0.116034458
7.4,-0.099894802,-0.001566183,-0.128630716,0.020551295,-0.126188162
7.433333333,-0.096085842,-0.001266944,-0.127947108,0.028409019,-0.134062303
7.466666667,-0.090882564,-0.00094602,-0.125194122,0.035546586,-0.139589742
7.5,-0.08438981,-0.000615126,-0.120476772,0.041855035,-0.142743634
7.533333333,-0.076729186,-0.000285517,-0.11392916,0.047243163,-0.14353662
7.566666667,-0.068037111,3.23E-05,-0.105711254,0.051638593,-0.142019384
7.6,-0.058462705,0.000329059,-0.096005338,0.054988495,-0.138278623
7.633333333,-0.04816553,0.000596533,-0.085012241,0.057259957,-0.132434489
7.666666667,-0.03731322,0.000828132,-0.072947386,0.058440011,-0.124637559
7.7,-0.026079019,0.0010188,-0.060036757,0.058535317,-0.115065412
7.733333333,-0.014639263,0.00116511,-0.046512845,0.057571539,-0.103918872
7.766666667,-0.003170838,0.001265264,-0.032610644,0.055592404,-0.091418016
7.8,0.008151361,0.001319035,-0.01856376,0.052658493,-0.077797987
7.833333333,0.019156929,0.001327675,-0.004600696,0.048845778,-0.063304735
7.866666667,0.029682385,0.001293772,0.009058638,0.044243926,-0.048190711
7.9,0.039573491,0.00122108,0.022206135,0.038954425,-0.032710632
7.933333333,0.048687444,0.001114326,0.034648397,0.033088539,-0.017117344
7.966666667,0.056894894,0.000978995,0.046209279,0.026765155,-0.00165788
8,0.064081768,0.000821113,0.056732072,0.02010853,0.013430256
8.033333333,0.070150861,0.000647022,0.066081284,0.01324601,0.027922509
8.066666667,0.075023186,0.000463164,0.074144028,0.006305725,0.041610371
8.1,0.078639039,0.000275875,0.080830995,-0.000585672,0.054304104
8.133333333,0.080958784,9.12E-05,0.086077028,-0.007305208,0.065835075
8.166666667,0.081963322,-8.53E-05,0.089841297,-0.013735682,0.076057667
8.2,0.081654256,-0.000248599,0.092107102,-0.019767621,0.084850771
8.233333333,0.080053725,-0.000394473,0.092881302,-0.025301068,0.092118834
8.266666667,0.077203923,-0.000519444,0.092193426,-0.030247171,0.097792483
8.3,0.073166311,-0.000620901,0.090094456,-0.034529546,0.101828716
8.333333333,0.06802051,-0.000697116,0.086655354,-0.038085401,0.104210691
8.366666667,0.061862923,-0.000747235,0.081965328,-0.040866396,0.104947124
8.4,0.054805083,-0.000771254,0.076129908,-0.042839232,0.10407132
8.433333333,0.046971759,-0.000769966,0.069268842,-0.043985956,0.101639871
8.466666667,0.038498856,-0.000744887,0.061513861,-0.044303995,0.09773106
8.5,0.02953114,-0.000698164,0.053006353,-0.043805897,0.092442993
8.533333333,0.020219823,-0.000632479,0.04389498,-0.042518815,0.085891507
8.566666667,0.01072005,-0.000550929,0.034333268,-0.040483725,0.078207897
8.6,0.001188334,-0.000456915,0.024477213,-0.037754409,0.069536495
8.633333333,-0.008220028,-0.000354016,0.014482937,-0.034396217,0.060032144
8.666666667,-0.017353495,-0.000245879,0.004504412,-0.030484643,0.049857614
8.7,-0.026066758,-0.000136097,-0.005308707,-0.026103734,0.039180987
8.733333333,-0.034223089,-2.81E-05,-0.014813118,-0.021344369,0.028173064
8.766666667,-0.041696539,7.49E-05,-0.023873759,-0.016302447,0.017004816
8.8,-0.048373928,0.000169991,-0.032365521,-0.011077009,0.005844923
8.833333333,-0.054156618,0.000254772,-0.040174771,-0.00576834,-0.005142574
8.866666667,-0.058962017,0.000327186,-0.047200676,-0.000476082,-0.015800483
8.9,-0.062724799,0.000385686,-0.053356309,0.004702603,-0.025980494
8.933333333,-0.065397821,0.000429228,-0.058569533,0.00967479,-0.035545035
8.966666667,-0.066952716,0.000457271,-0.062783666,0.014353432,-0.044368911
9,-0.067380161,0.000469771,-0.065957909,0.01865886,-0.052340732
9.033333333,-0.066689816,0.000467153,-0.068067554,0.022520107,-0.0593641
9.066666667,-0.06490993,0.000450275,-0.06910396,0.025876047,-0.065358563
9.1,-0.062086635,0.000420379,-0.069074322,0.028676322,-0.070260324
9.133333333,-0.058282936,0.000379037,-0.068001218,0.030882042,-0.074022697
9.166666667,-0.053577421,0.000328086,-0.065921963,0.032466262,-0.076616331
9.2,-0.048062713,0.00026956,-0.062887783,0.033414207,-0.07802919
9.233333333,-0.041843696,0.000205622,-0.0589628,0.033723282,-0.078266296
9.266666667,-0.035035559,0.000138491,-0.054222878,0.03340283,-0.07734926
9.3,-0.027761672,7.04E-05,-0.048754321,0.032473687,-0.075315599
9.333333333,-0.020151357,3.40E-06,-0.042652457,0.030967518,-0.072217857
9.366666667,-0.012337587,-6.04E-05,-0.036020116,0.028925968,-0.06812255
9.4,-0.004454643,-0.000119318,-0.028966041,0.026399647,-0.063108945
9.433333333,0.003364201,-0.00017169,-0.021603232,0.023446964,-0.057267702
9.466666667,0.010988957,-0.000216247,-0.014047264,0.020132845,-0.050699389
9.5,0.0182951,-0.000251986,-0.00641459,0.016527361,-0.043512902
9.533333333,0.025165615,-0.000278219,0.001179144,0.012704292,-0.0358238
9.566666667,0.031492887,-0.000294578,0.00862075,0.008739652,-0.027752586
9.6,0.037180387,-0.000301012,0.015801093,0.004710216,-0.019422956
9.633333333,0.042144141,-0.000297775,0.022616611,0.000692069,-0.010960034
9.666666667,0.046313952,-0.000285407,0.028970742,-0.003240799,-0.002488615
9.7,0.04963436,-0.0002647,0.034775228,-0.007017818,0.005868552
9.733333333,0.052065332,-0.000236671,0.039951294,-0.010573065,0.013992429
9.766666667,0.053582659,-0.000202513,0.044430678,-0.013846375,0.021769285
9.8,0.054178083,-0.000163558,0.048156501,-0.016784312,0.029092192
9.833333333,0.053859132,-0.000121229,0.051083959,-0.019340987,0.035862408
9.866666667,0.05264869,-7.70E-05,0.053180843,-0.021478718,0.041990637
9.9,0.050584308,-3.23E-05,0.054427868,-0.023168513,0.047398139
9.933333333,0.047717267,1.14E-05,0.054818804,-0.024390391,0.052017688
9.966666667,0.044111429,5.28E-05,0.054360426,-0.025133506,0.055794357
10,0.039841887,9.08E-05,0.053072265,-0.025396123,0.058686131
10.03333333,0.034993454,0.000124199,0.050986172,-0.025185402,0.060664333
10.06666667,0.02965901,0.000152229,0.048145712,-0.024517042,0.061713859
10.1,0.023937746,0.000174223,0.044605374,-0.023414767,0.061833232
10.13333333,0.017933341,0.000189745,0.040429633,-0.021909679,0.061034454
10.16666667,0.011752095,0.000198578,0.035691866,-0.020039495,0.059342681
10.2,0.005501062,0.000200726,0.030473142,-0.017847681,0.056795709
10.23333333,-0.000713787,0.0001964,0.024860907,-0.015382504,0.053443294
10.26666667,-0.006789346,0.000186008,0.01894757,-0.012696023,0.049346301
10.3,-0.012627058,0.000170133,0.012829043,-0.009843034,0.044575708
10.33333333,-0.018134491,0.000149505,0.006603221,-0.006879997,0.03921147
10.36666667,-0.023226764,0.000124978,0.00036845,-0.003863958,0.033341267
10.4,-0.027827817,9.75E-05,-0.005777998,-0.000851495,0.027059145
10.43333333,-0.031871493,6.81E-05,-0.01174143,0.00210231,0.02046408
10.46666667,-0.035302433,3.77E-05,-0.017431175,0.004944834,0.01365848
10.5,-0.038076759,7.37E-06,-0.022761959,0.007626814,0.006746644
10.53333333,-0.040162549,-2.19E-05,-0.027655188,0.010103154,-0.000166787
10.56666667,-0.041540095,-4.92E-05,-0.032040105,0.012333649,-0.006978385
10.6,-0.042201947,-7.38E-05,-0.035854826,0.014283584,-0.01358745
10.63333333,-0.042152755,-9.50E-05,-0.039047217,0.015924235,-0.019897482
10.66666667,-0.041408902,-0.000112237,-0.041575616,0.017233236,-0.025817575
10.7,-0.03999795,-0.000125113,-0.04340938,0.018194829,-0.031263724
10.73333333,-0.037957919,-0.000133399,-0.04452925,0.018799984,-0.036160013
10.76666667,-0.035336398,-0.000137015,-0.04492753,0.019046394,-0.040439676
10.8,-0.032189528,-0.000136034,-0.044608086,0.01893835,-0.044046019
10.83333333,-0.028580859,-0.000130673,-0.043586152,0.018486502,-0.046933173
10.86666667,-0.024580117,-0.000121286,-0.041887956,0.017707507,-0.049066683
10.9,-0.020261901,-0.000108341,-0.039550173,0.016623576,-0.050423926
10.93333333,-0.015704327,-9.24E-05,-0.036619218,0.015261936,-0.050994329
10.96666667,-0.010987652,-7.41E-05,-0.033150382,0.013654216,-0.05077942
11,-0.0061929,-5.42E-05,-0.029206839,0.011835757,-0.049792684
11.03333333,-0.001400503,-3.33E-05,-0.024858527,0.009844889,-0.048059234
11.06666667,0.003311006,-1.22E-05,-0.020180942,0.007722154,-0.045615313
11.1,0.007866238,8.47E-06,-0.015253842,0.005509519,-0.042507624
11.13333333,0.012194109,2.80E-05,-0.010159907,0.00324958,-0.038792505
11.16666667,0.016228901,4.57E-05,-0.004983355,0.00098477,-0.034534959
11.2,0.019911208,6.13E-05,0.000191439,-0.001243411,-0.029807565
11.23333333,0.023188753,7.41E-05,0.00528132,-0.003395122,-0.02468927
11.26666667,0.026017069,8.40E-05,0.010205693,-0.005432876,-0.019264101
11.3,0.028360038,9.07E-05,0.014887796,-0.007322159,-0.013619806
11.33333333,0.030190271,9.41E-05,0.019255906,-0.009031991,-0.007846446
11.36666667,0.031489352,9.43E-05,0.023244439,-0.01053541,-0.002034971
11.4,0.032247915,9.14E-05,0.026794935,-0.011809863,0.003724211
11.43333333,0.032465583,8.55E-05,0.029856919,-0.012837518,0.009342638
11.46666667,0.032150761,7.71E-05,0.032388607,-0.013605476,0.014735157
11.5,0.031320286,6.65E-05,0.034357473,-0.014105891,0.019821221
11.53333333,0.029998965,5.41E-05,0.035740644,-0.014335996,0.024526093
11.56666667,0.028218977,4.04E-05,0.036525132,-0.014298031,0.028781956
11.6,0.026019191,2.59E-05,0.036707904,-0.013999089,0.032528893
11.63333333,0.023444376,1.12E-05,0.036295778,-0.013450869,0.035715737
11.66666667,0.02054435,-3.21E-06,0.035305166,-0.012669356,0.038300767
11.7,0.017373062,-1.69E-05,0.03376165,-0.011674428,0.040252247
11.73333333,0.01398763,-2.95E-05,0.031699425,-0.010489403,0.041548808
11.76666667,0.010447353,-4.06E-05,0.029160598,-0.009140525,0.042179647
11.8,0.006812713,-4.99E-05,0.026194368,-0.007656422,0.042144564
